year-date,EnterTime,n,i,j,ans,check
2015-10-26,15:50:14:288,1,64,74,5,0
2015-10-26,15:50:18:475,2,92,50,45,0
2015-10-26,15:50:19:366,3,20,6,45,0
2015-10-26,15:50:20:257,4,68,78,45,0
2015-10-26,15:50:21:132,5,89,38,45,0
2015-10-26,15:50:21:975,6,94,93,5,0
2015-10-26,15:50:22:804,7,51,23,45,0
2015-10-26,15:50:23:616,8,33,45,45,0
2015-10-26,15:50:24:429,9,48,5,5,0
2015-10-26,15:50:25:241,10,84,47,45,0
2015-10-26,15:50:26:100,11,13,39,5,0
2015-10-26,15:50:26:913,12,53,3,45,0
2015-10-26,15:50:27:804,13,36,6,45,0
2015-10-26,15:50:28:647,14,79,90,45454,0
2015-10-26,15:50:29:538,15,92,55,4,0
2015-10-26,15:50:29:757,16,39,80,45,0
2015-10-26,15:50:30:257,17,63,30,454,0
2015-10-26,15:50:30:772,18,1,41,454,0
2015-10-26,15:50:31:241,19,64,97,454,0
2015-10-26,15:50:31:804,20,94,16,455,0
2015-10-26,15:50:32:600,21,60,44,5,0
2015-10-26,15:50:32:975,22,69,25,5,0
2015-10-26,15:50:33:257,23,64,81,5,0
2015-10-26,15:50:33:507,24,16,60,5,0
2015-10-26,15:50:33:772,25,98,23,55,0
2015-10-26,15:50:34:54,26,56,70,5,0
2015-10-26,15:50:34:366,27,52,34,5,0
2015-10-26,15:50:34:647,28,69,78,5,0
2015-10-26,15:50:34:929,29,78,3,5,0
2015-10-26,15:50:35:491,30,66,20,5,0
2015-10-26,15:50:35:851,31,75,46,5,0
2015-10-26,15:50:36:194,32,21,55,5,0
2015-10-26,15:50:36:835,33,14,28,5,0
2015-10-26,15:50:37:554,34,28,40,5,0
2015-10-26,15:50:37:913,35,28,4,5,0
2015-10-26,15:50:38:288,36,12,72,5,0
2015-10-26,15:50:38:647,37,8,58,5,0
2015-10-26,15:50:39:22,38,95,37,5,0
2015-10-26,15:50:39:444,39,58,5,5,0
2015-10-26,15:50:39:819,40,100,1,5,0
2015-10-26,15:50:40:272,41,3,55,5,0
2015-10-26,15:50:40:694,42,98,1,5,0
2015-10-26,15:50:41:132,43,80,65,5,0
2015-10-26,15:50:41:491,44,7,50,5,0
2015-10-26,15:50:41:851,45,50,65,5,0
2015-10-26,15:50:42:226,46,6,85,5,0
2015-10-26,15:50:42:601,47,84,72,5,0
2015-10-26,15:50:43:7,48,65,48,5,0
2015-10-26,15:50:43:335,49,46,61,5,0
2015-10-26,15:50:44:554,50,74,39,5,0
2015-10-26,15:50:45:366,null,null,null,null,null
