year-date,EnterTime,n,i,j,ans,check
2015-10-26,16:49:57:727,1,39,41,80,1
2015-10-26,16:50:1:321,2,5,68,73,1
2015-10-26,16:50:4:540,3,68,2,2,0
2015-10-26,16:50:5:227,50,68,2,null,null,null,null,null
