year-date,EnterTime,n,i,j,ans,check
2015-10-26,17:0:13:659,1,87,32,119,1
2015-10-26,17:0:18:784,2,79,17,96,1
2015-10-26,17:0:26:691,3,48,18,2,0
2015-10-26,17:0:29:675,null,null,null,null,null
