year-date,EnterTime,n,i,j,ans,check
2015-10-26,16:55:34:344,1,52,28,80,1
2015-10-26,16:55:37:62,2,2,30,32,1
2015-10-26,16:55:38:516,3,55,9,4,0
2015-10-26,16:55:39:469,null,null,null,null,null
