year-date,EnterTime,n,i,j,ans,check
2015-10-26,15:55:12:967,1,88,33,4,0
2015-10-26,15:55:15:623,2,64,15,4,0
2015-10-26,15:55:15:936,3,55,41,4,0
2015-10-26,15:55:16:217,4,94,63,4,0
2015-10-26,15:55:16:670,5,44,78,4,0
2015-10-26,15:55:17:76,6,11,20,4,0
2015-10-26,15:55:17:326,7,62,5,4,0
2015-10-26,15:55:17:576,8,74,86,4,0
2015-10-26,15:55:17:826,9,56,76,4,0
2015-10-26,15:55:18:123,10,46,97,4,0
2015-10-26,15:55:19:342,null,null,null,null,null
