year-date,EnterTime,n,i,j,ans,check
2015-10-26,17:39:33:27,1,12,65,77,1
2015-10-26,17:39:37:506,2,96,23,119,1
2015-10-26,17:39:41:375,3,40,50,90,1
2015-10-26,17:39:43:500,null,null,null,null,null
