year-date,EnterTime,n,i,j,ans,check
2015-10-27,15:7:37:322,1,9,47,58,0
2015-10-27,15:7:40:664,2,83,22,5,0
2015-10-27,15:7:42:586,3,99,25,4,0
2015-10-27,15:7:45:141,null,null,null,null,null
