year-date,EnterTime,n,i,j,ans,check
2015-10-27,15:5:26:472,1,6,40,46,1
2015-10-27,15:5:28:925,2,1,77,78,1
2015-10-27,15:5:31:394,3,14,83,97,1
2015-10-27,15:5:35:220,null,null,null,null,null
